BeerID,Name,Style,Size(L),OG,FG,ABV,IBU,Color,BoilSize,BoilTime,BoilGravity,Efficiency,BrewMethod
61707,Over the Hills and far away...,Irish Red Ale,21.77,1.043,1.014,3.88,25.29,10.47,24.61,60,1.038,70,BIAB
33101,Blonde,Irish Pale Ale,21.77,1.046,1.006,5.23,33.05,4.99,25.55,60,1.039,75,All Grain
57453,C.R.E.A.M.,Irish Cream Ale,21.77,1.047,1.009,4.98,18.87,3.6,25.55,60,1.04,72,BIAB
11127,Maggie's Irish Red Ale,Irish Red Ale,21.77,1.05,1.01,5.4,21.7,17.96,26.5,60,1.041,77,BIAB
20446,Tangerine cream,Irish Cream Ale,21.77,1.048,1.008,5.22,9.75,4.35,27.82,60,1.037,79,All Grain
13693,Child Corn - Blueberry Irish Cream Ale,Irish Cream Ale,21.77,1.067,1.013,7.07,18.73,5.74,28.39,60,1.036,75,All Grain
73264,The Freckled Lass - Irish Red Ale,Irish Red Ale,21.77,1.045,1.013,4.2,24.56,11.97,28.39,60,1.034,70,BIAB
1,Vanilla Irish Cream Ale,Irish Cream Ale,21.77,1.055,1.013,5.48,17.65,4.83,28.39,75,1.038,70,All Grain
31271,BK's Spotted Cow III,Irish Cream Ale,21.77,1.051,1.012,5.16,19.56,4.94,28.39,60,1.039,65,All Grain
56124,Irish Cream Ale,Irish Cream Ale,21.77,1.04,1.007,4.38,30.91,5.36,29.34,60,1.03,78,BIAB
38418,BPA,Irish Pale Ale,21.77,1.053,1.009,5.68,29.24,7.04,29.34,90,1.039,76,All Grain
54368,Cream of 3 Crops,Irish Cream Ale,21.77,1.046,1.008,4.97,13.3,2.69,30.28,60,1.033,78,BIAB
4480,Irish Cream Ale,Irish Cream Ale,21.77,1.047,1.01,4.8,15.94,2.98,31.23,60,1.03,71,All Grain
36903,Lc8 liberty/chinook Irish Cream Ale,Irish Cream Ale,21.96,1.05,1.011,5.07,12.19,2.58,28.39,90,1.039,75,All Grain
38231,Red Ale,Irish Red Ale,21.96,1.077,1.021,7.31,58.16,15.17,29.34,60,1.058,70,All Grain
61153,4Gs Irish Red Ale,Irish Red Ale,21.96,1.048,1.012,4.65,24.23,13.44,29.53,60,1.035,65,All Grain
59560,Leadwood Irish Red,Irish Red Ale,22,1.06,1.015,5.88,0,15.09,10,60,1.133,70,Partial Mash
43893,Apa,Irish Lager,22,1.052,1.013,5.11,37.12,9.03,13,60,1.05,65,All Grain
48674,Red-X_v1,Irish Red Ale,22,1.047,1.008,5.1,33.25,25.79,25,80,1.042,70,All Grain
57994,American Irish Red,Irish Red Ale,22,1.053,1.01,5.71,20.67,13.95,26,60,1.045,72,All Grain
72293,Red,Irish Red Ale,22,1.056,1.013,5.57,41.92,17.25,26,60,1.047,65,All Grain
32571,Birarzu Lagertha,Irish Lager,22,1.054,1.013,5.47,28.6,10.4,27,70,1.044,70,All Grain
32530,RED ALE,Irish Red Ale,22,1.049,1.011,4.97,20.84,17.05,27,60,1.04,65,BIAB
60480,Red ale_v2,Irish Red Ale,22,1.049,1.012,4.83,28.32,14.14,27,60,1.04,63,All Grain
59721,Test Ale,Irish Pale Ale,22,1.061,1.013,6.31,24.2,8.87,27.5,60,1.049,75,All Grain
7106,H·mh˙sz,Irish Red Ale,22,1.051,1.015,4.82,23.09,14.1,28,60,1.04,70,All Grain
50368,Malloneys Rouge (Irish Red Ale),Irish Red Ale,22,1.051,1.014,4.81,23.53,13.82,28,80,1.04,70,All Grain
6847,Vienna Pseudo Lager,Irish Lager,22,1.052,1.011,5.32,23.45,12.55,28,90,1.041,70,All Grain
52189,Midnight Mover,Irish Dry Stout,22,1.047,1.015,4.25,31,42.98,28,80,1.037,67,All Grain
42324,Oatmeal stout,Irish Dry Stout,22,1.046,1.013,4.36,25.86,35.27,28,70,1.036,65,All Grain
19999,MadSci Single Stout Porter,Irish Dry Stout,22,1.056,1.014,5.47,47.9,28.38,28.5,60,1.043,75,BIAB
18139,Brooklyn Lager,Irish Lager,22,1.059,1.017,5.43,37.81,8.9,28.5,75,1.045,74,All Grain
